disease_accession:ID(Disease),disease_id,disease_acronym,disease_description,disease_xref_db,disease_xref_id,association_source,:LABEL
SYN:the-vacuolated-lens-vl-phenotype-that-is-characterized-by-neural-tube-defects-an,the vacuolated lens (vl) phenotype that is characterized by neural tube defects and congenital cataracts,,"An intragenic deletion in Gpr161 is responsible for the vacuolated lens (vl) phenotype that is characterized by neural tube defects and congenital cataracts. The vl mutation aroses spontaneously. About half of vl/vl embryos display lumbar-sacral spina bifida and die before birth, and the other half have closed neural tubes but show thinning of the midline neuroepithelium and epidermis, dilation of the dorsal ventricle, and presence of ectopic neuroepithelial cells in the ventricle. All surviving adults display congenital cataracts (PubMed:18250320). It is not a null mutant allele (PubMed:23332756)",,,UniProt,Disease
SYN:rupture-of-lens-cataract,rupture of lens cataract,,"Defects in Dock5 are the cause of rupture of lens cataract. It affects both eyes and is inherited as an autosomal recessive trait. Homozygotes spontaneously develop opacity of the lens at 35-60 days of age. The initial pathological changes appear at about 35 days of age in the deep layer of the posterior cortex as irregular swelling, condensation, degeneration and fragmentation of the lens fibers, leading to rupture of the lens capsule at the posterior pole at 45-100 days of age. Following rupture, the lens nucleus becomes dislocated behind the lens or occasionally in the anterior chamber",,,UniProt,Disease
SYN:cauliflower-cauli-phenotype-a-mouse-model-for-human-asphyxiating-thoracic-dystro,"cauliflower (cauli) phenotype, a mouse model for human asphyxiating thoracic dystrophy (Jeune syndrome)",,"Defects in Ift140 are the cause of cauliflower (cauli) phenotype, a mouse model for human asphyxiating thoracic dystrophy (Jeune syndrome). Embryos die at 13.5 dpc and exhibit exencephaly, anophthalmia, severely disorganized ribs with extensive exostoses, vertebral and palatal defects, agenesis/hypoplasia of the craniofacial skeleton, and polydactyly of the hindlimbs. Cilia morphology in limb buds is severely disrupted with a broader and bulbous appearance",,,UniProt,Disease
SYN:nob5-no-b-wave-5-a-spontaneous-mutation-that-causes-failure-to-transmit-the-phot,"nob5 (no b-wave 5), a spontaneous mutation that causes failure to transmit the photoreceptor signal through the depolarizing bipolar cells, characterized by an absence of the electroretinogram (ERG) b",,"Defects in Gpr179 are the cause of nob5 (no b-wave 5), a spontaneous mutation that causes failure to transmit the photoreceptor signal through the depolarizing bipolar cells, characterized by an absence of the electroretinogram (ERG) b-wave (PubMed:22325362, PubMed:24084093, PubMed:24415894). In retina, rod and cone ON-bipolar cell function is absent (PubMed:22325362)",,,UniProt,Disease
SYN:the-retinal-degeneration-1-rd1-allele-which-causes-retinal-degeneration-pubmed-2,"the retinal degeneration 1 (rd1) allele, which causes retinal degeneration (PubMed:25613321)",,"Defects in Pde6b are involved in the retinal degeneration 1 (rd1) allele, which causes retinal degeneration (PubMed:25613321). The rd1 allele is mainly caused by defects in the Pde6b gene, but it contains a cofounding mutation in the Gpr179 gene (PubMed:25613321)",,,UniProt,Disease
SYN:congenital-goiter-cog-is-caused-by-a-hypertrophy-of-the-thyroid-gland-goiter,Congenital goiter (cog) is caused by a hypertrophy of the thyroid gland (goiter),,"Congenital goiter (cog) is caused by a hypertrophy of the thyroid gland (goiter). Mice have reduced growth rate, hypothyroidism due to reduced production of the thyroid hormones thyroxine (T4) and triiodothyronine (T3), and lack colloid globules, a structure in the thyroid follicle lumen that is enriched in Tg/thyroglobulin",,,UniProt,Disease
SYN:rostral-cerebellar-malformation-rcm,rostral cerebellar malformation (Rcm),,"Defects in Unc5c are the cause of rostral cerebellar malformation (Rcm). Rcm is characterized by cerebellar and midbrain defects, apparently as a result of abnormal neuronal migration",,,UniProt,Disease
SYN:the-pale-ear-ep-mutant-which-exhibits-hypopigmentation-associated-with-defects-o,"the pale ear (ep) mutant which exhibits hypopigmentation associated with defects of multiple cytoplasmic organelles, including melanosomes, lysosomes, and granular elements of platelets (PubMed:925646",,"Defects in Hps1 are the cause of the pale ear (ep) mutant which exhibits hypopigmentation associated with defects of multiple cytoplasmic organelles, including melanosomes, lysosomes, and granular elements of platelets (PubMed:9256466)",,,UniProt,Disease
SYN:overexpressed-during-the-acute-phase-of-pancreatitis,Overexpressed during the acute phase of pancreatitis,,Overexpressed during the acute phase of pancreatitis,,,UniProt,Disease
SYN:alkaptonuria-aku,alkaptonuria (aku),,Defects in Hgd are the cause of alkaptonuria (aku). Aku is an autosomal recessive error of metabolism which is characterized by an increase in the level of homogentisic acid,,,UniProt,Disease
SYN:strong-luxoid-lst-phenotype,Strong luxoid (lst) phenotype,,"Defects in Alx4 are the cause of Strong luxoid (lst) phenotype. At heterozygosity lst is characterized by preaxial abnormalities of the hindfeet and, very rarely, of the forefeet. Homozygotes show preaxial polydactyly of all four limbs, reductions and duplications of the radius, absence of the tibia, craniofacial defects, reduction of the pubis, and dorsal alopecia",,,UniProt,Disease
SYN:the-lethal-milk-lm-phenotype,the lethal milk (lm) phenotype,,"Defect in Slc30a4 is the cause of the lethal milk (lm) phenotype. Mice with lm are defective in zinc transport into breast milk, due to a premature translation termination codon at position 297. Only homozygous mutant adults develop dermatitis, skin lesions, and hair loss due to a systemic zinc deficiency. Pups of any genotype suckled on homozygous mutant female also develop symptoms characteristic of nutritional zinc deficiency, including dermatitis, alopecia and stunted growth",,,UniProt,Disease
SYN:the-aphakia-ak-phenotype-a-recessive-homozygous-disease-characterized-by-small-e,"the aphakia (ak) phenotype, a recessive homozygous disease characterized by small eyes and closed eyelids",,"Mutations in Pitx3 appear to be the cause of the aphakia (ak) phenotype, a recessive homozygous disease characterized by small eyes and closed eyelids",,,UniProt,Disease
