:START_ID(Protein),:END_ID(Disease),association_note,association_source,:TYPE
2005,SYN:the-vacuolated-lens-vl-phenotype-that-is-characterized-by-neural-tube-defects-an,"An intragenic deletion in Gpr161 is responsible for the vacuolated lens (vl) phenotype that is characterized by neural tube defects and congenital cataracts. The vl mutation aroses spontaneously. About half of vl/vl embryos display lumbar-sacral spina bifida and die before birth, and the other half have closed neural tubes but show thinning of the midline neuroepithelium and epidermis, dilation of the dorsal ventricle, and presence of ectopic neuroepithelial cells in the ventricle. All surviving adults display congenital cataracts (PubMed:18250320). It is not a null mutant allele (PubMed:23332756)",UniProt,ASSOCIATED_WITH
2104,SYN:rupture-of-lens-cataract,"Defects in Dock5 are the cause of rupture of lens cataract. It affects both eyes and is inherited as an autosomal recessive trait. Homozygotes spontaneously develop opacity of the lens at 35-60 days of age. The initial pathological changes appear at about 35 days of age in the deep layer of the posterior cortex as irregular swelling, condensation, degeneration and fragmentation of the lens fibers, leading to rupture of the lens capsule at the posterior pole at 45-100 days of age. Following rupture, the lens nucleus becomes dislocated behind the lens or occasionally in the anterior chamber",UniProt,ASSOCIATED_WITH
2566,SYN:cauliflower-cauli-phenotype-a-mouse-model-for-human-asphyxiating-thoracic-dystro,"Defects in Ift140 are the cause of cauliflower (cauli) phenotype, a mouse model for human asphyxiating thoracic dystrophy (Jeune syndrome). Embryos die at 13.5 dpc and exhibit exencephaly, anophthalmia, severely disorganized ribs with extensive exostoses, vertebral and palatal defects, agenesis/hypoplasia of the craniofacial skeleton, and polydactyly of the hindlimbs. Cilia morphology in limb buds is severely disrupted with a broader and bulbous appearance",UniProt,ASSOCIATED_WITH
2568,SYN:nob5-no-b-wave-5-a-spontaneous-mutation-that-causes-failure-to-transmit-the-phot,"Defects in Gpr179 are the cause of nob5 (no b-wave 5), a spontaneous mutation that causes failure to transmit the photoreceptor signal through the depolarizing bipolar cells, characterized by an absence of the electroretinogram (ERG) b-wave (PubMed:22325362, PubMed:24084093, PubMed:24415894). In retina, rod and cone ON-bipolar cell function is absent (PubMed:22325362)",UniProt,ASSOCIATED_WITH
2568,SYN:the-retinal-degeneration-1-rd1-allele-which-causes-retinal-degeneration-pubmed-2,"Defects in Pde6b are involved in the retinal degeneration 1 (rd1) allele, which causes retinal degeneration (PubMed:25613321). The rd1 allele is mainly caused by defects in the Pde6b gene, but it contains a cofounding mutation in the Gpr179 gene (PubMed:25613321)",UniProt,ASSOCIATED_WITH
3770,SYN:congenital-goiter-cog-is-caused-by-a-hypertrophy-of-the-thyroid-gland-goiter,"Congenital goiter (cog) is caused by a hypertrophy of the thyroid gland (goiter). Mice have reduced growth rate, hypothyroidism due to reduced production of the thyroid hormones thyroxine (T4) and triiodothyronine (T3), and lack colloid globules, a structure in the thyroid follicle lumen that is enriched in Tg/thyroglobulin",UniProt,ASSOCIATED_WITH
3782,SYN:rostral-cerebellar-malformation-rcm,"Defects in Unc5c are the cause of rostral cerebellar malformation (Rcm). Rcm is characterized by cerebellar and midbrain defects, apparently as a result of abnormal neuronal migration",UniProt,ASSOCIATED_WITH
3837,SYN:the-pale-ear-ep-mutant-which-exhibits-hypopigmentation-associated-with-defects-o,"Defects in Hps1 are the cause of the pale ear (ep) mutant which exhibits hypopigmentation associated with defects of multiple cytoplasmic organelles, including melanosomes, lysosomes, and granular elements of platelets (PubMed:9256466)",UniProt,ASSOCIATED_WITH
3850,SYN:overexpressed-during-the-acute-phase-of-pancreatitis,Overexpressed during the acute phase of pancreatitis,UniProt,ASSOCIATED_WITH
3889,SYN:alkaptonuria-aku,Defects in Hgd are the cause of alkaptonuria (aku). Aku is an autosomal recessive error of metabolism which is characterized by an increase in the level of homogentisic acid,UniProt,ASSOCIATED_WITH
3919,SYN:strong-luxoid-lst-phenotype,"Defects in Alx4 are the cause of Strong luxoid (lst) phenotype. At heterozygosity lst is characterized by preaxial abnormalities of the hindfeet and, very rarely, of the forefeet. Homozygotes show preaxial polydactyly of all four limbs, reductions and duplications of the radius, absence of the tibia, craniofacial defects, reduction of the pubis, and dorsal alopecia",UniProt,ASSOCIATED_WITH
3922,SYN:the-lethal-milk-lm-phenotype,"Defect in Slc30a4 is the cause of the lethal milk (lm) phenotype. Mice with lm are defective in zinc transport into breast milk, due to a premature translation termination codon at position 297. Only homozygous mutant adults develop dermatitis, skin lesions, and hair loss due to a systemic zinc deficiency. Pups of any genotype suckled on homozygous mutant female also develop symptoms characteristic of nutritional zinc deficiency, including dermatitis, alopecia and stunted growth",UniProt,ASSOCIATED_WITH
3924,SYN:the-aphakia-ak-phenotype-a-recessive-homozygous-disease-characterized-by-small-e,"Mutations in Pitx3 appear to be the cause of the aphakia (ak) phenotype, a recessive homozygous disease characterized by small eyes and closed eyelids",UniProt,ASSOCIATED_WITH
3949,SYN:failure-to-form-lobulo-alveolar-mammary-structures-during-pregnancy-resulting-in,"Deficiency in Tnfsf11 results in failure to form lobulo-alveolar mammary structures during pregnancy, resulting in death of newborns. Trance-deficient mice show severe osteopetrosis, with no osteoclasts, marrow spaces, or tooth eruption, and exhibit profound growth retardation at several skeletal sites, including the limbs, skull, and vertebrae and have marked chondrodysplasia, with thick, irregular growth plates and a relative increase in hypertrophic chondrocytes",UniProt,ASSOCIATED_WITH
3989,SYN:lupus-nephritis-a-severe-autoimmune-disease,"Defects in Phyh are the cause of lupus nephritis, a severe autoimmune disease. Phyh could be involved in a reaction against the progression of the disease, because its expression is low in the early stage of the disease in the renal cortex of MRL/lpr mice",UniProt,ASSOCIATED_WITH
